,Mu33,Mu22,Pu,L,Cb,Delta,L1tb,h,b,tf,tw
1,2785.82,2008.375,-302557.178,4,1.55,0.006,1,36.3728,37.0967,2.1844,1.3335
2,-1.205,5737.699,-356258.447,4,2.208,0.0058,1,35.6108,36.8808,1.8034,1.1176
3,2475.836,4971.965,-257323.198,3.5,1.855,0.0042,1,35.6108,36.8808,1.8034,1.1176
4,15.981,5338.118,-359310.625,3.5,2.075,0.004,1,31.4452,30.6832,1.8669,1.1938
5,1471.607,2440.948,-208634.61,3.5,1.907,0.0037,1,31.115,30.5816,1.7018,1.0922
6,12.455,2916.027,-246283.297,3.5,1.704,0.0034,1,25.9588,25.6032,1.7272,1.0668
7,591.464,1241.306,-155636.176,3.5,1.844,0.003,1,25.3492,25.4,1.4224,0.8636
8,4.9,1354.358,-182254.646,3.5,1.875,0.0028,1,25.654,20.3708,1.5748,0.889
9,287.311,470.565,-103885.401,3.5,1.74,0.0021,1,24.7142,20.2184,1.1049,0.7366
10,1.792,836.644,-120060.413,3.5,1.764,0.0024,1,20.32,20.3073,1.1049,0.7239
11,14.967,153.298,-53150.892,3.5,1.99,0.0012,1,13.081,12.7762,1.0922,0.6858
12,-0.063,220.252,-58425.704,3.5,2.077,0.0011,1,15.2146,15.2146,0.6604,0.5842
13,-6121.1,0,0,10,2.25,0,1,15.748,15.2908,0.9271,0.6604
14,-6124.376,0,0,10,2.251,0,1,15.748,15.2908,0.9271,0.6604
15,-303.519,522.255,-15481.128,4,2.474,0.0042,1,15.2146,15.2146,0.6604,0.5842
16,-1716.766,2192.294,-30667.876,4,2.667,0.0084,1,20.1422,16.4973,1.016,0.6223
17,-1767.639,-0.004,18.996,5,2.067,0,1,14.986,10.0076,0.5461,0.4318
18,-29123.159,-0.388,-1444.207,8,1.375,0,1,35.3568,20.4724,1.6764,0.9398
19,-33760.961,-0.5,-1249.689,8,1.46,0,1,30.6324,25.3873,1.4605,0.8763
20,-1643.573,-0.004,17.339,5,1.903,0,1,14.986,10.0076,0.5461,0.4318
21,-2383.345,7022.191,-30776.581,4,2.475,0.0121,1,41.3004,17.9578,1.6002,0.9652
22,-1743.872,11567.454,-35137.927,4,1.78,0.0119,1,46.9138,19.3929,2.0574,1.2573
23,-1638.246,-0.005,20.897,5,1.896,0,1,14.986,10.0076,0.5461,0.4318
24,-37760.906,0.694,-1416.849,8,1.441,0,1,30.6324,25.3873,1.4605,0.8763
25,7918.52,1818.035,-35525.635,4,2.371,0.0124,1,20.32,20.3073,1.1049,0.7239
26,-26684.014,0.073,-393.192,5,2.007,0,1,35.5092,17.1323,1.1557,0.7239
27,3993.785,38636.521,-45989.552,4,2.298,0.0105,1,35.9664,36.9951,1.9812,1.2319
28,-5412.579,0.007,23.341,5,2.921,0,1,25.3746,10.16,0.6858,0.5842
29,-41038.78,0.746,-1618.273,8,1.376,0,1,30.9626,25.4254,1.6256,0.9144
30,15445.032,3625.439,-42415.806,4,2.308,0.0131,1,30.6324,20.4343,1.4605,0.8509
31,-28138.361,0.078,-405.014,5,1.89,0,1,40.2844,17.7419,1.0922,0.7493
32,-36741.211,0.104,-585.918,5,1.79,0,1,40.6654,17.7673,1.2827,0.7747
33,25252.458,7044.347,-55524.719,4,2.234,0.0141,1,35.2806,25.3873,1.6383,0.9525
34,63200.211,0.135,-1636.785,8,1,0,0,41.4782,25.9969,1.6891,1.0033
